date,model,mode,timestamp,level,project_id,pass,total,reason,score,type,,,,
20251020-1,gemma3-12b,direct,20251021-170829,1,12,0,18,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\12\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\12\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-170829,1,13,0,25,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-170829,1,14,0,5,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\14\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\14\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-170829,1,15,2,3,N/A,0.666666667,Web,,,,
20251020-1,gemma3-12b,direct,20251021-170829,1,16,3,9,N/A,0.333333333,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-170829,1,17,2,6,N/A,0.333333333,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-170829,1,18,1,14,N/A,0.071428571,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-170829,1,19,1,8,N/A,0.125,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-170829,1,20,0,26,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\20\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\20\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,1,0,11,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,2,0,9,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,3,0,16,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,4,0,17,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\4\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\4\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,5,0,13,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,6,0,20,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\6\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\6\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,7,0,24,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\7\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\7\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,8,0,18,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,9,0,13,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,10,0,21,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\10\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\10\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,11,0,8,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,12,0,18,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,13,0,25,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\13\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\13\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,14,0,5,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\14\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\14\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,15,0,3,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\15\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\15\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,16,0,9,N/A,0,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,17,0,6,N/A,0,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,18,0,14,N/A,0,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,19,0,8,N/A,0,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-171901,2,20,0,26,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\20\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\20\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,1,0,11,"Watching for file changes with StatReloader
Watching for file changes with StatReloader
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,2,0,9,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,3,0,16,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,4,0,17,"Watching for file changes with StatReloader
Watching for file changes with StatReloader
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,5,0,13,"Watching for file changes with StatReloader
Watching for file changes with StatReloader
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,6,0,20,"Watching for file changes with StatReloader
Watching for file changes with StatReloader
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,7,0,24,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,8,0,18,"
[notice] A new release of pip is available: 25.1.1 -> 25.3
[notice] To update, run: python.exe -m pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
Traceback (most recent call last):
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\8\start.py"", line 4, in <module>
    subprocess.run(['pip', 'install', '-r', 'requirements.txt'], check=True)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\subprocess.py"", line 577, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['pip', 'install', '-r', 'requirements.txt']' returned non-zero exit status 1.

[notice] A new release of pip is available: 25.1.1 -> 25.3
[notice] To update, run: python.exe -m pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
Traceback (most recent call last):
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\8\start.py"", line 4, in <module>
    subprocess.run(['pip', 'install', '-r', 'requirements.txt'], check=True)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\subprocess.py"", line 577, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['pip', 'install', '-r', 'requirements.txt']' returned non-zero exit status 1.
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,9,0,13,"Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
example_app.ContactSales: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
example_app.SupportRequest: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.

System check identified 2 issues (0 silenced).
Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
example_app.ContactSales: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
example_app.SupportRequest: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.

System check identified 2 issues (0 silenced).
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,10,0,21,N/A,0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,11,0,8,"
[notice] A new release of pip is available: 25.1.1 -> 25.3
[notice] To update, run: python.exe -m pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
Traceback (most recent call last):
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\11\start.py"", line 4, in <module>
    subprocess.run(['pip', 'install', '-r', 'requirements.txt'], check=True)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\subprocess.py"", line 577, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['pip', 'install', '-r', 'requirements.txt']' returned non-zero exit status 1.

[notice] A new release of pip is available: 25.1.1 -> 25.3
[notice] To update, run: python.exe -m pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
Traceback (most recent call last):
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\11\start.py"", line 4, in <module>
    subprocess.run(['pip', 'install', '-r', 'requirements.txt'], check=True)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\subprocess.py"", line 577, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['pip', 'install', '-r', 'requirements.txt']' returned non-zero exit status 1.
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,12,0,18,"
[notice] A new release of pip is available: 25.1.1 -> 25.3
[notice] To update, run: python.exe -m pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
Traceback (most recent call last):
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\12\start.py"", line 4, in <module>
    subprocess.run(['pip', 'install', '-r', 'requirements.txt'], check=True)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\subprocess.py"", line 577, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['pip', 'install', '-r', 'requirements.txt']' returned non-zero exit status 1.

[notice] A new release of pip is available: 25.1.1 -> 25.3
[notice] To update, run: python.exe -m pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
Traceback (most recent call last):
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\12\start.py"", line 4, in <module>
    subprocess.run(['pip', 'install', '-r', 'requirements.txt'], check=True)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\subprocess.py"", line 577, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['pip', 'install', '-r', 'requirements.txt']' returned non-zero exit status 1.
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,13,0,25,"Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
example_app.Customer: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
example_app.PreferredProduct: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
example_app.Product: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
example_app.PurchaseRecord: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.

System check identified 4 issues (0 silenced).
Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
example_app.Customer: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
example_app.PreferredProduct: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
example_app.Product: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.
example_app.PurchaseRecord: (models.W042) Auto-created primary key used when not defining a primary key type, by default 'django.db.models.AutoField'.
	HINT: Configure the DEFAULT_AUTO_FIELD setting or the AppConfig.default_auto_field attribute to point to a subclass of AutoField, e.g. 'django.db.models.BigAutoField'.

System check identified 4 issues (0 silenced).
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,14,0,5,"Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
?: (staticfiles.W004) The directory 'C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\14\static' in the STATICFILES_DIRS setting does not exist.

System check identified 1 issue (0 silenced).
Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
?: (staticfiles.W004) The directory 'C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\14\static' in the STATICFILES_DIRS setting does not exist.

System check identified 1 issue (0 silenced).
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,15,0,3,"Watching for file changes with StatReloader
Watching for file changes with StatReloader
",0,Web,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,16,1,9,N/A,0.111111111,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,17,2,6,N/A,0.333333333,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,18,1,14,N/A,0.071428571,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,19,1,8,N/A,0.125,Console/Batch,,,,
20251020-1,gemma3-12b,direct,20251021-172956,3,20,0,26,"Watching for file changes with StatReloader
Exception in thread django-main-thread:
Traceback (most recent call last):
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\threading.py"", line 1043, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\threading.py"", line 994, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\utils\autoreload.py"", line 64, in wrapper
    fn(*args, **kwargs)
    ~~^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\core\management\commands\runserver.py"", line 134, in inner_run
    self.check(display_num_errors=True)
    ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\core\management\base.py"", line 486, in check
    all_issues = checks.run_checks(
        app_configs=app_configs,
    ...<2 lines>...
        databases=databases,
    )
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\core\checks\registry.py"", line 88, in run_checks
    new_errors = check(app_configs=app_configs, databases=databases)
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\core\checks\urls.py"", line 136, in check_custom_error_handlers
    handler = resolver.resolve_error_handler(status_code)
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\urls\resolvers.py"", line 732, in resolve_error_handler
    callback = getattr(self.urlconf_module, ""handler%s"" % view_type, None)
                       ^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\utils\functional.py"", line 47, in __get__
    res = instance.__dict__[self.name] = self.func(instance)
                                         ~~~~~~~~~^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\urls\resolvers.py"", line 711, in urlconf_module
    return import_module(self.urlconf_name)
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\importlib\__init__.py"", line 88, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 1387, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 1360, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 1331, in _find_and_load_unlocked
  File ""<frozen importlib._bootstrap>"", line 935, in _load_unlocked
  File ""<frozen importlib._bootstrap_external>"", line 1026, in exec_module
  File ""<frozen importlib._bootstrap>"", line 488, in _call_with_frames_removed
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\20\example_project\urls.py"", line 6, in <module>
    path('', include('example_app.urls')),
             ~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\urls\conf.py"", line 39, in include
    urlconf_module = import_module(urlconf_module)
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\importlib\__init__.py"", line 88, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 1387, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 1360, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 1331, in _find_and_load_unlocked
  File ""<frozen importlib._bootstrap>"", line 935, in _load_unlocked
  File ""<frozen importlib._bootstrap_external>"", line 1026, in exec_module
  File ""<frozen importlib._bootstrap>"", line 488, in _call_with_frames_removed
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\20\example_app\urls.py"", line 2, in <module>
    from . import views
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\20\example_app\views.py"", line 8, in <module>
    from .forms import CommentForm
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\20\example_app\forms.py"", line 4, in <module>
    class CommentForm(forms.ModelForm):
    ...<7 lines>...
            }
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\forms\models.py"", line 334, in __new__
    raise FieldError(message)
django.core.exceptions.FieldError: Unknown field(s) (content, author) specified for Comment
Watching for file changes with StatReloader
Exception in thread django-main-thread:
Traceback (most recent call last):
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\threading.py"", line 1043, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\threading.py"", line 994, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\utils\autoreload.py"", line 64, in wrapper
    fn(*args, **kwargs)
    ~~^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\core\management\commands\runserver.py"", line 134, in inner_run
    self.check(display_num_errors=True)
    ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\core\management\base.py"", line 486, in check
    all_issues = checks.run_checks(
        app_configs=app_configs,
    ...<2 lines>...
        databases=databases,
    )
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\core\checks\registry.py"", line 88, in run_checks
    new_errors = check(app_configs=app_configs, databases=databases)
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\core\checks\urls.py"", line 136, in check_custom_error_handlers
    handler = resolver.resolve_error_handler(status_code)
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\urls\resolvers.py"", line 732, in resolve_error_handler
    callback = getattr(self.urlconf_module, ""handler%s"" % view_type, None)
                       ^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\utils\functional.py"", line 47, in __get__
    res = instance.__dict__[self.name] = self.func(instance)
                                         ~~~~~~~~~^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\urls\resolvers.py"", line 711, in urlconf_module
    return import_module(self.urlconf_name)
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\importlib\__init__.py"", line 88, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 1387, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 1360, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 1331, in _find_and_load_unlocked
  File ""<frozen importlib._bootstrap>"", line 935, in _load_unlocked
  File ""<frozen importlib._bootstrap_external>"", line 1026, in exec_module
  File ""<frozen importlib._bootstrap>"", line 488, in _call_with_frames_removed
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\20\example_project\urls.py"", line 6, in <module>
    path('', include('example_app.urls')),
             ~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\urls\conf.py"", line 39, in include
    urlconf_module = import_module(urlconf_module)
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\importlib\__init__.py"", line 88, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 1387, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 1360, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 1331, in _find_and_load_unlocked
  File ""<frozen importlib._bootstrap>"", line 935, in _load_unlocked
  File ""<frozen importlib._bootstrap_external>"", line 1026, in exec_module
  File ""<frozen importlib._bootstrap>"", line 488, in _call_with_frames_removed
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\20\example_app\urls.py"", line 2, in <module>
    from . import views
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\20\example_app\views.py"", line 8, in <module>
    from .forms import CommentForm
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\20\example_app\forms.py"", line 4, in <module>
    class CommentForm(forms.ModelForm):
    ...<7 lines>...
            }
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\.venv\Lib\site-packages\django\forms\models.py"", line 334, in __new__
    raise FieldError(message)
django.core.exceptions.FieldError: Unknown field(s) (author, content) specified for Comment
",0,Web,,,,
20251020-1,gemma3-27b,cascade,20251020-234444,1,1,1,11,N/A,0.090909091,Web,,,,
20251020-1,gemma3-27b,cascade,20251020-234444,1,2,0,9,"node:internal/modules/cjs/loader:1423
  throw err;
  ^

Error: Cannot find module 'C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\2\app.js'
    at Module._resolveFilename (node:internal/modules/cjs/loader:1420:15)
    at defaultResolveImpl (node:internal/modules/cjs/loader:1058:19)
    at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1063:22)
    at Module._load (node:internal/modules/cjs/loader:1226:37)
    at TracingChannel.traceSync (node:diagnostics_channel:328:14)
    at wrapModuleLoad (node:internal/modules/cjs/loader:244:24)
    at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5)
    at node:internal/main/run_main_module:33:47 {
  code: 'MODULE_NOT_FOUND',
  requireStack: []
}

Node.js v24.11.0
Traceback (most recent call last):
  File ""C:\Users\13468\PycharmProjects\ProjectEvalPlus\test\20251030\2\start.py"", line 7, in <module>
    subprocess.run(['node', 'app.js'], check=True, shell=True)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\13468\AppData\Local\Programs\Python\Python313\Lib\subprocess.py"", line 577, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['node', 'app.js']' returned non-zero exit status 1.
",0,Web,,,,
20251020-1,gemma3-27b,cascade,20251020-234444,1,3,11,16,N/A,0.6875,Web,,,,
20251020-1,gemma3-27b,cascade,20251020-234444,1,4,0,17,"python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\4\\start.py': [Errno 2] No such file or directory
python: can't open file 'C:\\Users\\13468\\PycharmProjects\\ProjectEvalPlus\\test\\20251030\\4\\start.py': [Errno 2] No such file or directory
",0,Web,,,,
